"studyID","studyindex","armindex","Agent","Dose","r","n"
"ACCEPT",1,1,"Etanercept",100,197,347
"ACCEPT",1,2,"Ustekinumab",3.75,141,209
"ACCEPT",1,3,"Ustekinumab",7.5,256,347
"AMAGINE-1",2,1,"Placebo",0,6,220
"AMAGINE-1",2,2,"Brodalumab",70,132,219
"AMAGINE-1",2,3,"Brodalumab",105,185,222
"AMAGINE-2",3,1,"Placebo",0,25,309
"AMAGINE-2",3,2,"Brodalumab",70,406,610
"AMAGINE-2",3,3,"Brodalumab",105,528,612
"AMAGINE-2",3,4,"Ustekinumab",5.62,210,300
"AMAGINE-3",4,1,"Placebo",0,19,315
"AMAGINE-3",4,2,"Brodalumab",70,435,629
"AMAGINE-3",4,3,"Brodalumab",105,531,624
"AMAGINE-3",4,4,"Ustekinumab",5.62,217,313
"CLEAR",5,1,"Secukinumab",75,307,337
"CLEAR",5,2,"Ustekinumab",5.62,268,339
"ERASURE",6,1,"Placebo",0,11,248
"ERASURE",6,2,"Secukinumab",37.5,175,245
"ERASURE",6,3,"Secukinumab",75,200,245
"EXPRESS",7,1,"Placebo",0,3,77
"EXPRESS",7,2,"Infliximab",57.62,245,301
"EXPRESS II",8,1,"Placebo",0,4,208
"EXPRESS II",8,2,"Infliximab",34.5,220,313
"EXPRESS II",8,3,"Infliximab",57.62,237,314
"FEATURE",9,1,"Placebo",0,0,59
"FEATURE",9,2,"Secukinumab",37.5,41,59
"FEATURE",9,3,"Secukinumab",75,45,59
"FIXTURE",10,1,"Placebo",0,16,326
"FIXTURE",10,2,"Etanercept",100,143,326
"FIXTURE",10,3,"Secukinumab",37.5,219,327
"FIXTURE",10,4,"Secukinumab",75,252,327
"Igarashi et al (2012)",11,1,"Placebo",0,2,32
"Igarashi et al (2012)",11,2,"Ustekinumab",3.75,38,64
"Igarashi et al (2012)",11,3,"Ustekinumab",7.5,42,62
"IXORA-S",12,1,"Ixekizumab",30,120,136
"IXORA-S",12,2,"Ustekinumab",5.62,114,166
"JUNCTURE",13,1,"Placebo",0,2,61
"JUNCTURE",13,2,"Secukinumab",37.5,44,61
"JUNCTURE",13,3,"Secukinumab",75,52,60
"Langley et al (2018)",14,1,"Ixekizumab",20,510,616
"Langley et al (2018)",14,2,"Ixekizumab",40,545,611
"Papp et al (2005)",15,1,"Placebo",0,6,193
"Papp et al (2005)",15,2,"Etanercept",50,67,196
"Papp et al (2005)",15,3,"Etanercept",100,96,194
"PHOENIX 1",16,1,"Placebo",0,8,255
"PHOENIX 1",16,2,"Ustekinumab",3.75,171,255
"PHOENIX 1",16,3,"Ustekinumab",7.5,170,256
"PHOENIX 2",17,1,"Placebo",0,15,410
"PHOENIX 2",17,2,"Ustekinumab",3.75,273,409
"PHOENIX 2",17,3,"Ustekinumab",7.5,311,411
"reSURFACE 1",18,1,"Placebo",0,9,155
"reSURFACE 1",18,2,"Tildrakizumab",8.3,197,309
"reSURFACE 1",18,3,"Tildrakizumab",16.7,192,308
"reSURFACE 2",19,1,"Placebo",0,9,156
"reSURFACE 2",19,2,"Etanercept",100,151,313
"reSURFACE 2",19,3,"Tildrakizumab",8.3,188,307
"reSURFACE 2",19,4,"Tildrakizumab",16.7,206,314
"Tsai et al (2011)",20,1,"Placebo",0,3,60
"Tsai et al (2011)",20,2,"Ustekinumab",3.75,41,61
"UNCOVER 1",21,1,"Placebo",0,17,431
"UNCOVER 1",21,2,"Ixekizumab",20,357,432
"UNCOVER 1",21,3,"Ixekizumab",40,386,433
"UNCOVER 2",22,1,"Placebo",0,4,168
"UNCOVER 2",22,2,"Etanercept",100,149,358
"UNCOVER 2",22,3,"Ixekizumab",20,269,347
"UNCOVER 2",22,4,"Ixekizumab",40,315,351
"UNCOVER 3",23,1,"Placebo",0,14,193
"UNCOVER 3",23,2,"Etanercept",100,204,382
"UNCOVER 3",23,3,"Ixekizumab",20,325,386
"UNCOVER 3",23,4,"Ixekizumab",40,336,385
